manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,kmeans.labels,agglomerative.average.labels,agglomerative.complete.labels,agglomerative.single.labels,agglomerative.ward.labels,meanshift.labels
0.0,0.0,1.0,0.0,4.0,0.0,29.0,676.0,4086.0,5332.0,4.0,0,1,0,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,16.0,1072.0,2859.0,3746.0,3.0,0,1,0,1,1,0
0.0,0.0,1.0,0.0,6.0,0.0,24.0,1776.0,17355.0,8101.0,4.0,0,0,0,1,1,0
1.0,1.0,0.0,0.0,20.0,0.0,30.0,4240.0,1474614.0,591385.0,4.0,1,0,0,4,4,9
1.0,0.0,1.0,0.0,0.0,0.0,30.0,1028.0,25302.0,28823.0,4.0,0,1,0,1,1,0
1.0,0.0,0.0,0.0,8.0,0.0,30.0,1391.0,50283.0,123827.0,4.0,0,1,2,1,1,0
0.0,0.0,1.0,0.0,3.0,0.0,26.0,533.0,23850.0,16226.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,17.0,654.0,2466.0,1835.0,5.0,0,0,0,1,1,0
0.0,0.0,1.0,0.0,6.0,0.0,30.0,1094.0,5337.0,10857.0,4.0,0,1,2,1,1,0
1.0,1.0,0.0,0.0,20.0,0.0,26.0,10587.0,636978.0,87960.0,4.0,4,0,0,3,3,11
1.0,1.0,0.0,0.0,2.0,0.0,26.0,984.0,24159.0,131796.0,4.0,0,1,2,1,1,0
0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,20.0,0.0,30.0,500.0,1044.0,1393.0,5.0,0,1,0,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,29.0,610.0,18093.0,7659.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,0.0,8.0,0.0,27.0,2073.0,120399.0,12794.0,4.0,0,0,0,1,1,0
1.0,0.0,0.0,0.0,5.0,0.0,30.0,4273.0,260589.0,53328.0,4.0,0,0,0,1,1,6
0.0,0.0,1.0,0.0,1.0,0.0,29.0,2997.0,8526.0,32619.0,5.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,3.0,0.0,30.0,1336.0,5229.0,4500.0,4.0,0,0,0,1,1,0
1.0,0.0,1.0,0.0,8.0,0.0,30.0,4416.0,305928.0,1061946.0,4.0,2,1,2,0,0,3
1.0,0.0,0.0,0.0,7.0,0.0,30.0,4328.0,146610.0,259937.0,4.0,4,1,2,3,3,1
0.0,0.0,1.0,0.0,0.0,0.0,30.0,3932.0,7773.0,40367.0,5.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,1.0,0.0,28.0,1468.0,11985.0,35453.0,5.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,0.0,0.0,26.0,863.0,4389.0,52418.0,4.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,6.0,0.0,29.0,1369.0,12201.0,18410.0,5.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,2.0,1237.0,1689.0,782.0,4.0,0,0,1,1,1,0
0.0,0.0,0.0,0.0,9.0,0.0,27.0,4625.0,38943.0,10909.0,4.0,0,0,0,1,1,0
1.0,1.0,0.0,0.0,16.0,0.0,25.0,1435.0,34143.0,15862.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,22.0,1193.0,5202.0,8608.0,4.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,8.0,0.0,30.0,8893.0,1139631.0,670763.0,4.0,1,0,0,4,4,20
1.0,0.0,1.0,0.0,0.0,0.0,30.0,2546.0,202140.0,328369.0,4.0,4,1,2,3,3,1
1.0,0.0,0.0,0.0,9.0,0.0,30.0,2359.0,311424.0,657048.0,4.0,4,1,2,3,3,5
0.0,0.0,1.0,0.0,16.0,0.0,29.0,764.0,38304.0,10961.0,4.0,0,0,0,1,1,0
1.0,0.0,0.0,0.0,1.0,0.0,22.0,11148.0,28107.0,57956.0,4.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,13.0,0.0,30.0,2964.0,31941.0,47140.0,4.0,0,1,2,1,1,0
1.0,0.0,0.0,0.0,15.0,0.0,28.0,5890.0,19065.0,75688.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,26.0,478.0,2328.0,1510.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,15.0,0.0,22.0,412.0,1395.0,4500.0,5.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,16.0,1149.0,1320.0,860.0,5.0,0,2,3,1,1,0
0.0,0.0,0.0,0.0,9.0,0.0,27.0,2920.0,29769.0,9284.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,1.0,0.0,6.0,786.0,12075.0,6359.0,5.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,16.0,269.0,11691.0,405.0,5.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,14.0,852.0,1674.0,1562.0,5.0,0,1,0,1,1,0
0.0,0.0,0.0,0.0,20.0,0.0,29.0,709.0,1563.0,405.0,4.0,0,0,1,1,1,0
1.0,0.0,1.0,0.0,0.0,0.0,27.0,5076.0,343074.0,350820.0,4.0,4,1,0,3,3,21
0.0,0.0,1.0,0.0,6.0,0.0,29.0,731.0,6006.0,14978.0,5.0,0,1,2,1,1,0
1.0,0.0,0.0,0.0,5.0,0.0,27.0,4867.0,331428.0,1192115.0,4.0,2,1,2,0,0,3
0.0,0.0,0.0,0.0,3.0,0.0,9.0,720.0,1089.0,470.0,4.0,0,0,1,1,1,0
0.0,0.0,0.0,0.0,13.0,0.0,30.0,346.0,2901.0,860.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,26.0,2777.0,3873.0,10662.0,4.0,0,1,2,1,1,0
1.0,0.0,0.0,0.0,16.0,0.0,30.0,1622.0,124752.0,100245.0,4.0,0,0,0,1,1,6
0.0,0.0,0.0,0.0,5.0,0.0,16.0,797.0,1092.0,470.0,5.0,0,0,1,1,1,0
0.0,0.0,0.0,0.0,4.0,0.0,28.0,1809.0,6642.0,3018.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,0.0,15.0,0.0,24.0,511.0,5028.0,8517.0,4.0,0,1,2,1,1,0
1.0,1.0,0.0,0.0,20.0,0.0,30.0,37856.0,1421073.0,865672.0,4.0,1,0,0,4,4,8
1.0,0.0,0.0,0.0,8.0,0.0,30.0,2238.0,24708.0,44592.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,7.0,0.0,8.0,412.0,1014.0,600.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,1.0,8.0,0.0,30.0,14525.0,74169.0,35128.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,20.0,0.0,29.0,1105.0,1179.0,405.0,5.0,0,2,1,1,1,0
