shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs,shopindex,GBDT_label,GBDT_probs
119700,1.0,0.0,0.0,0.0,15.0,0.0,26.0,9311.0,58590.0,25079.0,4.0,1,0.5,119700,0,0.8119116327923376
207225,0.0,0.0,0.0,0.0,1.0,0.0,2.0,269.0,1029.0,470.0,2.0,0,0.84,207225,0,0.80791934985067
215775,0.0,0.0,0.0,0.0,6.0,0.0,28.0,3052.0,15684.0,13197.0,3.0,1,0.69,215775,0,0.7910867573249691
308340,0.0,0.0,0.0,0.0,9.0,0.0,2.0,423.0,1143.0,509.0,4.0,0,0.96,308340,0,0.7910867573249691
350280,0.0,0.0,0.0,0.0,1.0,0.0,11.0,467.0,1641.0,522.0,5.0,0,0.9,350280,0,0.80791934985067
396360,0.0,0.0,0.0,0.0,5.0,0.0,1.0,412.0,5700.0,457.0,2.0,0,0.92,396360,0,0.7910867573249691
406305,0.0,0.0,0.0,0.0,8.0,0.0,5.0,566.0,2139.0,1757.0,2.0,0,0.6,406305,0,0.7910867573249691
412875,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1143.0,405.0,0.0,0,0.92,412875,0,0.9101013615354286
505260,0.0,0.0,0.0,0.0,0.0,0.0,2.0,841.0,2205.0,1848.0,4.0,0,0.45,505260,0,0.8013022647801775
543375,0.0,0.0,0.0,0.0,8.0,0.0,1.0,522.0,1056.0,470.0,4.0,0,0.95,543375,0,0.7910867573249691
567315,0.0,0.0,0.0,0.0,13.0,0.0,1.0,247.0,2736.0,405.0,1.0,0,0.83,567315,0,0.7910867573249691
589905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,269.0,1140.0,405.0,4.823308270676691,0,0.9,589905,0,0.8013022647801775
618480,0.0,0.0,0.0,0.0,5.0,0.0,23.0,2062.0,93846.0,4799.0,4.0,0,0.92,618480,0,0.7910867573249691
618840,0.0,0.0,0.0,0.0,20.0,0.0,2.0,247.0,1236.0,405.0,1.0,0,0.92,618840,0,0.7910867573249691
670455,0.0,0.0,0.0,0.0,13.0,0.0,3.0,258.0,1149.0,444.0,5.0,0,0.97,670455,0,0.7910867573249691
671445,0.0,0.0,0.0,0.0,20.0,0.0,1.0,291.0,1035.0,405.0,4.93609022556391,0,0.93,671445,0,0.7910867573249691
