shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs
207225,0,0,0,0,1,0,2,269,1029,470,2,0,0.84
308340,0,0,0,0,9,0,2,423,1143,509,4,0,0.96
350280,0,0,0,0,1,0,11,467,1641,522,5,0,0.9
396360,0,0,0,0,5,0,1,412,5700,457,2,0,0.92
412875,0,0,0,0,20,0,1,247,1143,405,0,0,0.92
543375,0,0,0,0,8,0,1,522,1056,470,4,0,0.95
567315,0,0,0,0,13,0,1,247,2736,405,1,0,0.83
589905,0,0,0,0,0,0,1,269,1140,405,4.823308271,0,0.9
618480,0,0,0,0,5,0,23,2062,93846,4799,4,0,0.92
618840,0,0,0,0,20,0,2,247,1236,405,1,0,0.92
670455,0,0,0,0,13,0,3,258,1149,444,5,0,0.97
671445,0,0,0,0,20,0,1,291,1035,405,4.936090226,0,0.93
702630,0,0,0,0,20,0,1,247,1017,405,3.744360902,0,0.93
753840,0,0,0,0,15,0,1,258,1005,405,4.812030075,0,0.98
763110,0,0,0,0,20,0,1,247,1149,405,4.27443609,0,0.92
790695,0,0,0,0,9,0,2,764,1335,678,3,0,0.94
846225,0,0,0,0,3,0,1,467,1485,496,5,0,0.93
901575,0,0,0,0,8,0,1,335,1092,509,5,0,0.95
932400,0,0,0,0,20,0,1,247,1131,405,2.27443609,0,0.93
1073565,0,0,0,0,6,0,4,269,1101,522,4,0,0.96
1138365,0,0,0,0,8,0,1,720,1317,509,1,0,0.93
1223775,0,0,0,0,8,0,1,313,1368,405,4,0,0.9
1227960,0,0,0,0,0,0,2,357,4329,1536,4,0,0.75
1255590,0,0,0,0,9,0,6,302,1056,444,3,0,0.94
1282680,0,0,0,0,1,0,23,1413,2712,16369,5,1,0.82
1291815,0,0,0,0,9,0,1,962,1227,600,3,0,0.78
1411245,0,0,0,0,14,0,1,335,1188,405,0,0,0.96
1433520,0,0,0,0,19,0,1,269,1098,405,3.943609023,0,0.93
1463400,0,0,0,0,15,0,1,390,1011,405,4.864661654,0,0.98
1474020,0,0,0,0,8,0,1,258,1746,405,0,0,0.86
1503945,0,0,0,0,20,0,2,247,1068,405,4.187969925,0,0.93
1509885,0,0,0,0,20,0,3,654,4380,418,1,0,0.89
1541160,0,0,0,0,3,0,15,1270,10674,3863,4,0,0.72
1552050,0,0,0,0,20,0,6,247,999,405,3.966165414,0,0.92
1581525,0,0,0,0,20,0,1,247,999,405,4.763157895,0,0.95
1638270,0,0,0,0,20,0,2,258,1077,405,3.165413534,0,0.93
1651815,0,0,0,0,20,0,1,291,1206,405,0,0,0.91
1693125,0,0,0,0,8,0,1,500,1182,990,5,0,0.94
1867095,0,0,0,0,8,0,14,390,1605,7048,4,1,0.8
2011005,0,0,0,0,6,0,24,1930,33528,6411,4,0,0.92
2037960,0,0,0,0,8,0,4,423,1179,405,5,0,0.96
2082600,0,0,0,0,0,0,1,258,1416,405,3.917293233,0,0.82
2174400,0,0,0,0,9,0,2,346,1233,535,3,0,0.96
2209140,0,0,0,0,20,0,1,247,1017,405,5,0,0.95
2241360,0,0,0,0,20,0,3,280,981,405,4.921052632,0,0.94
2251035,0,0,0,0,20,0,1,247,1053,405,4.390977444,0,0.93
2295360,0,0,0,0,3,0,2,258,1038,405,0,0,0.92
2307735,0,0,0,0,20,0,1,247,1134,405,1.883458647,0,0.93
2475630,0,0,0,0,20,0,1,247,1164,405,3.954887218,0,0.92
2496690,0,0,0,0,20,0,2,258,1128,431,4,0,0.93
2509605,0,0,0,0,13,0,1,269,987,405,3.87593985,0,0.97
2589075,0,0,0,0,8,0,7,302,1143,405,5,0,0.94
2659680,0,0,0,0,8,0,2,687,1191,548,3,0,0.95
2689830,0,0,0,0,5,0,18,555,2847,704,3,0,0.86
2771820,0,0,0,0,8,0,1,423,1464,405,1,0,0.92
2773620,0,0,0,0,0,0,3,335,1335,509,3,0,0.84
2789370,0,0,0,0,4,0,1,258,975,405,4.642857143,0,0.95
2823345,0,0,1,0,6,0,18,1611,9006,3187,4,0,0.73
2915865,0,0,0,0,0,0,20,786,3630,20451,4,1,0.84
2926170,0,0,0,0,20,0,2,247,1080,405,0,0,0.93
2951460,0,0,0,0,8,0,1,280,1194,405,5,0,0.94
2978910,0,0,0,0,20,0,18,412,2034,3395,4,1,0.76
3024495,0,0,0,0,20,0,1,247,987,405,4.319548872,0,0.92
3038175,0,0,0,0,8,0,5,302,1392,405,5,0,0.88
3052215,0,0,0,0,9,0,5,258,1023,405,5,0,0.95
3083940,0,0,0,0,6,0,1,412,2013,405,2,0,0.8
3109365,0,0,0,0,13,0,2,379,1287,431,5,0,0.93
3137895,0,0,0,0,20,0,1,390,2487,405,0,0,0.79
3189735,0,0,0,0,5,0,7,676,1251,834,3,0,0.92
3236265,0,0,0,0,8,0,3,258,1149,405,4.635338346,0,0.95
3250035,0,0,0,0,8,0,2,269,1032,405,4.84962406,0,0.93
3250800,0,0,0,0,20,1,1,258,1026,405,5,0,0.91
3389310,0,0,0,0,6,0,1,258,1257,405,0,0,0.87
3390750,0,0,0,0,20,0,1,247,1026,405,3.766917293,0,0.93
3402405,0,0,0,0,3,0,5,390,1107,1003,4,0,0.96
3441510,0,0,0,0,11,0,16,610,1275,2836,5,1,0.76
3474450,0,0,0,0,8,0,1,346,2706,1094,4,0,0.8
3545055,1,0,0,0,0,0,2,258,1035,405,5,0,0.82
3563235,0,0,0,0,8,0,1,335,2097,405,5,0,0.82
3627990,0,0,0,0,20,0,2,258,1065,418,5,0,0.95
3656115,0,0,0,0,20,0,1,247,978,405,4.42481203,0,0.9
3688965,0,0,0,0,20,0,1,247,1065,405,4.364661654,0,0.93
3744990,0,0,0,0,16,0,23,423,1434,1640,4,1,0.71
3801690,0,0,0,0,1,0,1,368,3183,444,3,0,0.79
3836970,0,0,0,0,8,0,1,390,2208,509,3,0,0.84
3863610,0,0,0,0,5,0,1,258,4257,444,3,0,0.88
3910320,0,0,0,0,20,0,1,247,1020,405,3.95112782,0,0.93
3959910,0,0,0,0,20,0,1,247,2220,405,0,0,0.82
4006755,0,0,0,0,0,0,23,1138,3303,36181,4,1,0.85
4040595,0,0,0,0,1,0,2,786,14550,1978,4,0,0.81
