,masked_other_tab_click,masked_shop_click_from_search,shop_L180D_order,shop_follower_number,masked_item_impression,Score
31086,190.0,98.05263158,23701,3696,637562500.0,28921169.03341252
104493,190.0,98.05263158,18267,3252,637865536.0,28933911.799635954
29938,36.0,4.0,4760,1794,649995025.0,29481417.050082784
28548,267.0,25.0,14328,14718,651015225.0,29531244.443121266
90058,113.0,66.10526316,405,2496,670136769.0,30394330.79131178
72029,58.0,65.15789474,405,2160,676676169.0,30690853.08323551
45534,1213.0,36.0,2537,3708,680844649.0,30880978.454102356
30396,25.0,11.57894737,5618,1581,680896836.0,30883075.05991438
27840,861.0,961.0,5007,4869,686125636.0,31121140.15761238
105448,388.0,81.0,4279,3420,698492041.0,31681293.41610264
75870,190.0,834.7368421,9661,6537,700343296.0,31766703.806866877
51530,443.0,16.0,20022,8463,708464689.0,32137033.015539054
20286,322.0,1.0,405,4068,711555625.0,32273163.311863545
109866,212.0,1.0,18267,3384,712890000.0,32336629.989046834
94580,146.0,1.0,11117,8853,713157025.0,32348238.574481476
43789,289.0,4.0,21712,1893,719580625.0,32640502.353471138
14354,58.0,6.578947368,4838,1314,724309569.0,32851887.236467373
103386,190.0,1.0,405,2658,726194704.0,32936862.216100823
7279,91.0,10.78947368,691,993,729162009.0,33071221.346866984
31355,223.0,4.0,6645,3507,731810704.0,33192785.891804803
23256,7285.0,361.0,100245,110472,741527361.0,33667622.72597271
82993,575.0,1369.0,8712,12141,744416656.0,33766534.505180806
75971,443.0,1.0,17942,6534,744853264.0,33786794.23596247
19961,80.0,1.0,31696,5244,755590144.0,34275807.27033384
40961,278.0,45.42105263,21660,2043,774174976.0,35116629.053373374
53131,531.0,4.0,15771,11652,775733904.0,35187751.676626496
13357,201.0,13.31578947,10012,2319,778968100.0,35332004.77071118
37146,663.0,4.0,13405,2808,779247225.0,35345512.0506245
80881,190.0,1.0,16096,11688,790790641.0,35870562.07561774
46054,806.0,49.0,7516,9708,795860521.0,36099016.283554986
81347,157.0,25.57894737,31592,3945,805708225.0,36548736.697850384
54308,1037.0,196.0,13600,7686,808435489.0,36670250.282014236
24368,69.0,137.36842109999998,20529,3075,817102225.0,37063461.74883366
38473,322.0,1.0,405,2439,822599761.0,37309309.67196803
92288,157.0,9.0,7919,3015,829036849.0,37602573.32880976
61594,157.0,9.842105262999999,42031,4803,830246596.0,37663587.9678471
86326,487.0,10.26315789,12937,2892,831630244.0,37721185.95689778
32804,311.0,16.89473684,20685,22428,838276209.0,38026599.62080845
993,289.0,25.57894737,405,1350,844541721.0,38304320.44872771
10032,333.0,27.15789474,27029,7359,849722500.0,38544752.10424464
13841,509.0,27.15789474,16057,11508,850772224.0,38591117.236344084
62129,685.0,4.0,405,2511,853749961.0,38722281.46803151
18898,520.0,37.36842105,24546,2238,855328516.0,38797949.83839087
60271,124.0,1.0,17565,8763,867361401.0,39343224.48066028
88162,1389.0,9.0,33100,75945,867125809.0,39345118.5482064
61354,278.0,1.0,124763,18213,869601121.0,39464721.26519535
65448,190.0,196.8947368,15173,20082,873320704.0,39614740.97478059
48061,168.0,104.7894737,14406,16089,890306244.0,40384396.63062346
72824,102.0,105.2105263,29382,2376,891082201.0,40420241.311750874
52659,487.0,114.57894740000002,10922,12339,897182209.0,40695266.03243649
2456,190.0,114.57894740000002,23038,7311,898380729.0,40750893.617607124
16210,124.0,1.0,8777,1554,912704521.0,41397224.481405616
4228,487.0,43.68421053,13652,18753,929945025.0,42182563.43396722
105414,784.0,64.0,11078,23502,949317721.0,43061552.49240793
86188,14.0,3417.8947369999996,405,972,952895161.0,43219237.15484235
103807,377.0,4.0,5982,1605,957469249.0,43427146.505391486
85506,498.0,25.0,5501,5544,983575044.0,44611688.15154478
31373,1796.0,9.0,17123,9360,990612676.0,44933962.948431134
46706,135.0,1.0,26522,2484,991242256.0,44962481.89241377
239,2115.0,100.0,19866,10368,997485889.0,45246464.778395325
17488,707.0,16.0,8361,3987,1025984961.0,46535540.945577726
53403,465.0,25.0,45216,6633,1040191504.0,47186514.76951705
17440,190.0,12.94736842,405,2364,1043871481.0,47344958.21192026
85921,344.0,16.0,49610,6132,1064847424.0,48305413.4334752
81969,1367.0,1.0,39184,87105,1077152400.0,48873406.48042704
45127,278.0,187.0,28615,10230,1084384900.0,49188480.547101155
