,decorated_indicator,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,performance_date,masked_item_impression,masked_order,masked_shop_page_view,masked_shop_click_from_search,masked_campaign_tab_click,masked_other_tab_click,shop_index
0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,13.0,23710764289.0,21024576.0,0.0,225.0,11.0,10299.0,946403415
1,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,1.0,25607040484.0,4657463.0,400.0,361.0,11.0,9133.0,946403415
2,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,14.0,21261139344.0,12008989.0,0.0,289.0,11.0,12598.0,946403415
3,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,11.0,17363069361.0,405224.0,16.0,484.0,11.0,8671.0,946403415
4,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,6.0,20385271729.0,4657463.0,16.0,400.0,11.0,9254.0,946403415
5,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,7.0,52621607236.0,2744000.0,0.0,784.0,11.0,22113.0,946403415
6,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,10.0,19258500625.0,1191016.0,4.0,484.0,11.0,6790.0,946403415
7,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,5.0,18694819441.0,3241792.0,0.0,441.0,11.0,8033.0,946403415
8,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,12.0,22122992644.0,571787.0,4.0,676.0,11.0,9320.0,946403415
9,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,9.0,44201698564.0,3307949.0,1.0,400.0,11.0,7978.0,946403415
10,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,4.0,43418473641.0,1225043.0,0.0,1024.0,11.0,8231.0,946403415
11,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,8.0,11099038836484.0,105823817.0,0.0,2209.0,11.0,34004.0,946403415
12,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,3.0,20050843201.0,2197000.0,81.0,784.0,11.0,8462.0,946403415
13,1.0,0.0,1.0,0.0,1.0,5.0,0.0,28.0,907.0,82005.0,156119.0,5.0,2.0,21907256121.0,5177717.0,16.0,1089.0,11.0,9188.0,946403415
14,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,6.0,58614336.0,4096.0,0.0,1.0,11.0,58.0,1076521680
15,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,5.0,55726225.0,9261.0,0.0,182.78947368421052,11.0,135.0,1076521680
16,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,8.0,280093696.0,103823.0,0.0,1.0,11.0,135.0,1076521680
17,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,11.0,49688401.0,10648.0,0.0,105.78947368421052,11.0,91.0,1076521680
18,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,12.0,56055169.0,4096.0,0.0,178.57894736842104,11.0,80.0,1076521680
19,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,2.0,34304449.0,8000.0,0.0,1.0,11.0,135.0,1076521680
20,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,13.0,61434244.0,5832.0,0.0,73.52631578947368,11.0,80.0,1076521680
21,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,7.0,82919236.0,1331.0,0.0,1.0,11.0,91.0,1076521680
22,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,9.0,75498721.0,8000.0,0.0,131.57894736842104,11.0,69.0,1076521680
23,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,4.0,35820225.0,512.0,0.0,107.47368421052632,11.0,58.0,1076521680
24,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,3.0,37859409.0,1000.0,0.0,1.0,11.0,14.0,1076521680
25,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,14.0,75411856.0,9261.0,0.0,4.0,11.0,69.0,1076521680
26,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,10.0,52215076.0,1000.0,0.0,157.26315789473685,11.0,58.0,1076521680
27,1.0,0.0,0.0,0.0,1.0,17.0,0.0,26.0,962.0,3132.0,24078.0,4.0,1.0,32936121.0,2197.0,0.0,69.57894736842105,11.0,80.0,1076521680
28,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,14.0,652444849.0,17576.0,0.0,9.0,11.0,201.0,281846475
29,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,1.0,9662496804.0,21952.0,0.0,10731.157894736842,11.0,113.0,281846475
30,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,5.0,399480169.0,15625.0,0.0,291.63157894736844,11.0,102.0,281846475
31,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,2.0,329023321.0,19683.0,0.0,135.0,11.0,58.0,281846475
32,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,6.0,299428416.0,27000.0,0.0,370.42105263157896,11.0,330.10526315789474,281846475
33,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,9.0,687593284.0,68921.0,0.0,1.0,11.0,223.0,281846475
34,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,13.0,489073225.0,39304.0,0.0,537.5263157894736,11.0,223.0,281846475
35,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,7.0,449948944.0,12167.0,0.0,1.0,11.0,124.0,281846475
36,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,10.0,484660225.0,42875.0,0.0,537.3684210526316,11.0,124.0,281846475
37,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,4.0,411075625.0,39304.0,0.0,1015.6842105263158,11.0,25.0,281846475
38,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,11.0,493817284.0,54872.0,0.0,4.0,11.0,91.0,281846475
39,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,12.0,524959744.0,50653.0,0.0,401.4736842105263,11.0,190.0,281846475
40,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,8.0,1084582489.0,132651.0,0.0,1.0,11.0,366.0,281846475
41,1.0,0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,3.0,405700164.0,42875.0,0.0,93.94736842105263,11.0,80.0,281846475
42,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,9.0,22201.0,1.0,0.0,4.842105263157895,11.0,25.0,1273771485
43,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,6.0,29241.0,1.0,0.0,6.2105263157894735,11.0,29.05263157894737,1273771485
44,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,2.0,42025.0,0.0,0.0,6.7368421052631575,11.0,30.210526315789473,1273771485
45,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,8.0,47961.0,0.0,0.0,9.526315789473685,11.0,27.894736842105264,1273771485
46,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,3.0,23104.0,0.0,0.0,4.842105263157895,11.0,25.0,1273771485
47,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,1.0,32041.0,1.0,0.0,6.052631578947368,11.0,32.526315789473685,1273771485
48,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,4.0,12769.0,0.0,0.0,4.842105263157895,11.0,29.05263157894737,1273771485
49,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,12.0,19600.0,0.0,0.0,4.684210526315789,11.0,24.42105263157895,1273771485
50,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,5.0,15129.0,0.0,0.0,4.684210526315789,11.0,30.210526315789473,1273771485
51,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,10.0,28561.0,1.0,0.0,4.526315789473684,11.0,28.473684210526315,1273771485
52,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,7.0,28224.0,0.0,0.0,4.684210526315789,11.0,28.473684210526315,1273771485
53,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,13.0,7744.0,0.0,0.0,2.789473684210526,11.0,30.210526315789473,1273771485
54,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,14.0,144400.0,0.0,0.0,4.894736842105263,11.0,31.94736842105263,1273771485
55,1.0,0.0,0.0,0.0,1.0,20.0,0.0,25.0,665.0,1203.0,405.0,4.0,11.0,19321.0,0.0,0.0,4.684210526315789,11.0,24.42105263157895,1273771485
56,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,3.0,77246521.0,64.0,2601.0,109.26315789473684,11.0,300.0,19663110
57,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,13.0,68013009.0,1.0,0.0,21.526315789473685,11.0,113.0,19663110
58,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,10.0,88811776.0,1728.0,169.0,1.0,11.0,234.0,19663110
59,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,14.0,90763729.0,125.0,1444.0,54.10526315789474,11.0,267.0,19663110
60,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,11.0,78925456.0,125.0,2601.0,1.0,11.0,245.0,19663110
61,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,1.0,84400969.0,8.0,3721.0,4.0,11.0,256.0,19663110
62,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,8.0,376243609.0,1728.0,841.0,1.0,11.0,542.0,19663110
63,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,9.0,139806976.0,512.0,4761.0,401.2631578947368,11.0,234.0,19663110
64,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,4.0,57441241.0,27.0,2601.0,110.94736842105263,11.0,168.0,19663110
65,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,7.0,142945936.0,64.0,729.0,1.0,11.0,399.0,19663110
66,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,12.0,78552769.0,27.0,16.0,1.0,11.0,333.0,19663110
67,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,2.0,73410624.0,343.0,13456.0,1.0,11.0,245.0,19663110
68,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,5.0,70610409.0,343.0,16.0,69.21052631578948,11.0,245.0,19663110
69,1.0,0.0,0.0,1.0,0.0,11.0,0.0,6.0,2821.0,12903.0,10012.0,4.0,6.0,76912900.0,64.0,225.0,132.57894736842104,11.0,267.0,19663110
70,1.0,0.0,0.0,1.0,1.0,20.0,0.0,24.0,7771.0,2211.0,11611.0,4.0,7.0,731377936.0,1728.0,0.0,3803.3684210526317,11.0,553.0,775124775
